ID,Title,Date,Type,URL,Local PDF,Full Citation,Core/Strand,Contribution,Role in Argument,Local MD,Peer Review Notes,Authorial Contributions,Authorial CRediT,GitHub URL,Posted
SBW-010,Mixed-indicators model for identifying emerging research areas,2011,Article,http://link.springer.com/10.1007/s11192-011-0433-7,Guo et al. - 2011 - Mixed-indicators model for identifying emerging research areas.pdf,"Guo, Hanning, Scott B. Weingart, and Katy Börner. 2011. “Mixed-Indicators Model for Identifying Emerging Research Areas.” Scientometrics 89 (1): 421–35. https://doi.org/10.1007/s11192-011-0433-7.",,,,Guo_et_al_2011_Mixed_indicators_model,Journal article was accepted for publication according to the journal’s standard peer review process. ,"Guo and I contributed equally to this publication, performing all tasks from conception to final draft. Börner contributed supervisory oversight, conceptual support, and final draft review.",Conceptualization; Data Curation; Formal Analysis; Investigation; Methodology; Project Administration; Visualization; Writing - Original Draft; Writing - Review and Editing,,
SBW-011,#humnets paper/review,2011-10-22,Blog Post,https://web.archive.org/web/20111103061616/http://www.scottbot.net/HIAL/?p=80,Weingart - 2011 - #humnets paperreview.pdf,"Weingart, Scott B. 2011. “#humnets Paper/Review.” Blog. The Scottbot Irregular, October 22. https://web.archive.org/web/20111103061616/http://www.scottbot.net/HIAL/?p=80.",,,,2011-10-22-humnets-paperreview,Not peer reviewed.,Sole author,Sole author,,
SBW-012,"Alchemy, Text Analysis, and Networks! Oh my!",2011-11-04,Blog Post,https://web.archive.org/web/20120309044743/http://www.scottbot.net/HIAL/?p=129,"Weingart - 2012 - Alchemy, Text Analysis, and Networks! Oh my!.pdf","Weingart, Scott B. 2011. “Alchemy, Text Analysis, and Networks! Oh My!” Blog. The Scottbot Irregular, November 4. https://web.archive.org/web/20120309044743/http://www.scottbot.net/HIAL/?p=129.",,,,2011-11-04-alchemy-text-analysis-and-networks-oh-my,Not peer reviewed.,Sole author,Sole author,,
SBW-013,Are we bad social scientists?,2011-11-10,Blog Post,https://web.archive.org/web/20120309062953/http://www.scottbot.net/HIAL/?p=106,Weingart - 2012 - Are we bad social scientists.pdf,"Weingart, Scott B. 2011. “Are We Bad Social Scientists?” Blog. The Scottbot Irregular, November 10. https://web.archive.org/web/20120309062953/http://www.scottbot.net/HIAL/?p=106.",,,,2011-11-10-are-we-bad-social-scientists,Not peer reviewed.,Sole author,Sole author,,
SBW-014,Contextualizing networks with maps,2011-11-22,Blog Post,https://web.archive.org/web/20120309090318/http://www.scottbot.net/HIAL/?p=1942,Weingart - 2012 - Contextualizing networks with maps.pdf,"Weingart, Scott B. 2011. “Contextualizing Networks with Maps.” Blog. The Scottbot Irregular, November 22. https://web.archive.org/web/20120309090318/http://www.scottbot.net/HIAL/?p=1942.",,,,2011-11-22-contextualizing-networks-with-maps,Not peer reviewed.,Sole author,Sole author,,
SBW-015,Demystifying Networks,2011-12-14,Blog Post,https://web.archive.org/web/20120309052419/http://www.scottbot.net/HIAL/?p=6279,Weingart - 2012 - Demystifying Networks.pdf,"Weingart, Scott B. 2011. “Demystifying Networks.” Blog. The Scottbot Irregular, December 14. https://web.archive.org/web/20120309052419/http://www.scottbot.net/HIAL/?p=6279.",,,,2011-12-14-demystifying-networks,Not peer reviewed.,Sole author,Sole author,,
SBW-016,"Demystifying Networks, Parts I & II",2011,Article,https://journalofdigitalhumanities.org/1-1/demystifying-networks-by-scott-weingart/,"Weingart - 2011 - Demystifying Networks, Parts I & II.pdf","Weingart, Scott B. 2011. “Demystifying Networks, Parts I & II.” Journal of Digital Humanities 1 (1): 15–33.",1,,,Weingart_2011_Demystifying_Networks,Journal article was accepted for publication according to the journal’s standard peer review process. ,Sole author,Sole author,,
SBW-017,Networks Demystified 2: Degree,2011-12-17,Blog Post,https://web.archive.org/web/20120122112630/http://www.scottbot.net/HIAL/?p=6526,Weingart - 2012 - Networks Demystified 2 Degree.pdf,"Weingart, Scott B. 2011. “Networks Demystified 2: Degree.” Blog. The Scottbot Irregular, December 17. https://web.archive.org/web/20120122112630/http://www.scottbot.net/HIAL/?p=6526.",,,,2011-12-17-networks-demystified-2-degree,Not peer reviewed.,Sole author,Sole author,,
SBW-018,Pledges,2011-12-15,Blog Post,https://web.archive.org/web/20120309062634/http://www.scottbot.net/HIAL/?p=6336,Weingart - 2012 - Pledges.pdf,"Weingart, Scott B. 2011. “Pledges.” Blog. The Scottbot Irregular, December 15. https://web.archive.org/web/20120309062634/http://www.scottbot.net/HIAL/?p=6336.",,,,2011-12-15-pledges,Not peer reviewed.,Sole author,Sole author,,
SBW-019,Topic Modeling and Network Analysis,2011-11-15,Blog Post,https://web.archive.org/web/20120118210528/http://www.scottbot.net/HIAL/?p=221,Weingart - 2012 - Topic Modeling and Network Analysis.pdf,"Weingart, Scott B. 2011. “Topic Modeling and Network Analysis.” Blog. The Scottbot Irregular, November 15. https://web.archive.org/web/20120118210528/http://www.scottbot.net/HIAL/?p=221.",1,,,2011-11-15-topic-modeling-and-network-analysis,Not peer reviewed.,Sole author,Sole author,https://github.com/scottbot/dossier/blob/main/_posts/2011-11-15-topic-modeling-and-network-analysis.md,1
